,molecule_chembl_id,standard_value,standard_units,target_chembl_id,smiles
167381,CHEMBL4442441,20.0,nM,CHEMBL1075104,Cc1cc(-c2ccc3nc(Nc4ccccc4)nn3c2)cc(C)c1O
167382,CHEMBL4442441,20.0,nM,CHEMBL1075104,Cc1cc(-c2ccc3nc(Nc4ccccc4)nn3c2)cc(C)c1O
167383,CHEMBL4579292,4.4,nM,CHEMBL1075104,N#CC1(c2ccc3cnn(-c4cc(N5CC[C@@H](O)[C@@H](F)C5)ncn4)c3c2)CC2(CC2)C1
167384,CHEMBL4553532,0.9,nM,CHEMBL1075104,CC(C)(O)[C@@H]1CCN(c2cc(-n3ncc4ccc(C5(C#N)CC6(CC6)C5)cc43)ncn2)C1
167385,CHEMBL4450014,1.0,nM,CHEMBL1075104,C[C@H]1CN(c2cc(-n3ncc4ccc(C5(C#N)CC6(CC6)C5)cc43)ncn2)CCN1C1COC1
167386,CHEMBL4562534,2.6,nM,CHEMBL1075104,CC(C)(O)C1CN(c2cc(-n3ncc4ccc(C5(C#N)CC6(CC6)C5)cc43)ncn2)C1
167387,CHEMBL4559776,1.0,nM,CHEMBL1075104,CC1(O)CC2(CN(c3cc(-n4ncc5ccc(C6(C#N)CC7(CC7)C6)cc54)ncn3)C2)C1
167388,CHEMBL4442821,20.2,nM,CHEMBL1075104,Cc1nc(N2CCN3CCOC[C@@H]3C2)cc(-n2ncc3cnc(C4(C#N)CC5(CC5)C4)cc32)n1
167389,CHEMBL4638880,501.0,nM,CHEMBL1075104,COc1cc(N2CCN(C)CC2)ccc1Nc1nc(C)c2c(n1)N(C)c1ccccc1C(=O)N2C
167390,CHEMBL4635720,683.0,nM,CHEMBL1075104,COc1cc(NS(C)(=O)=O)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C(C)C
167391,CHEMBL4758121,97.51,nM,CHEMBL1075104,OC1(c2cncs2)CCN(c2cc3c(cnn3-c3cnn(C4CC4)c3)cc2Cl)CC1
167392,CHEMBL4782722,104.3,nM,CHEMBL1075104,CO[C@H]1COC[C@H]1N1CCN(c2cc3c(cnn3-c3cnn(C45CC(C4)C5)c3)cc2Cl)CC1
167393,CHEMBL4780515,157.0,nM,CHEMBL1075104,[2H]C([2H])([2H])OCC12CC(n3cc(-n4ncc5cc(Cl)c(N6CCN([C@]7(C)COC[C@@H]7O)CC6)cc54)cn3)(C1)C2
167394,CHEMBL4797678,259.2,nM,CHEMBL1075104,Cc1cc2cnn(-c3cnn(C45CC(C4)C5)c3)c2cc1N1CCN([C@@H]2COC[C@@H]2O)CC1
167395,CHEMBL4795392,154.0,nM,CHEMBL1075104,C[C@@]1(N2CCN(c3cc4c(cnn4-c4cnn(C56CC(C5)C6)c4)cc3Cl)CC2)CC[C@H]1O
167396,CHEMBL4763199,0.9,nM,CHEMBL1075104,Clc1cc2cnn(-c3cnn(C4CCC4)c3)c2cc1C1CCN(C2COC2)CC1
167397,CHEMBL4791349,0.8,nM,CHEMBL1075104,CCn1cc(-n2ncc3cc(Cl)c(C4CCN(C5(C)COC5)CC4)cc32)cn1
167398,CHEMBL4764691,0.71,nM,CHEMBL1075104,CC1(N2CCC(c3cc4c(cnn4-c4cnn(C56CC(C5)C6)c4)cc3Cl)CC2)COC1
167399,CHEMBL407391,3355.0,nM,CHEMBL1075104,CN(C)c1ncnc2nc[nH]c12
167400,CHEMBL407391,218000.0,nM,CHEMBL2096619,CN(C)c1ncnc2nc[nH]c12
167401,CHEMBL388593,26630.0,nM,CHEMBL1075104,Nc1ncnc2[nH]ncc12
167402,CHEMBL388593,144900.0,nM,CHEMBL2096619,Nc1ncnc2[nH]ncc12
167403,CHEMBL5093047,1739.0,nM,CHEMBL1075104,Cn1c(NCc2ccccc2F)c(C#N)c2c(N)ncnc21
167404,CHEMBL5093047,6055.0,nM,CHEMBL1075104,Cn1c(NCc2ccccc2F)c(C#N)c2c(N)ncnc21
167405,CHEMBL5092458,3532.0,nM,CHEMBL1075104,Cn1c(NCc2ccccc2)c(C#N)c2c(N)ncnc21
167406,CHEMBL5092519,483.0,nM,CHEMBL1075104,Cn1c(-c2ccccc2)c(C#N)c2c(N)ncnc21
167407,CHEMBL5092519,1258.0,nM,CHEMBL1075104,Cn1c(-c2ccccc2)c(C#N)c2c(N)ncnc21
